*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=instreg_v3
*Date=16:56:45
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
107;;;45.5559;-90.3136;0;Bottom;Via80
108;;DIP (Dual Inline) [THT];26.5055;-74.4385;-90;Bottom;74LS173
109;220;1206 [SMD];90.3626;-92.8535;0;Top;R21
110;220;1206 [SMD];49.367;-14.3935;-90;Top;R14
111;;;20.1554;-80.7886;0;Bottom;Via30
112;;1206 [SMD];46.827;-9.31349;-90;Top;LED12
113;;;86.8309;-75.0736;0;Bottom;Via75
114;;THT;3.01046;-42.6885;0;Bottom;src_sel
115;;THT;96.3555;-57.9285;180;Bottom;pow
116;;THT;3.01046;-7.12846;0;Bottom;ard_clk
117;;;14.4404;-57.9286;0;Bottom;Via96
118;;THT;54.4483;-1.97339;-90;Bottom;inst_out
119;;;64.6088;-5.78349;0;Bottom;Via37
120;;;44.2859;-22.3686;0;Bottom;Via11
121;;;25.2359;-96.0286;0;Bottom;Via93
122;;;14.4404;-60.4686;0;Bottom;Via20
123;;;81.7858;-96.8063;0;Bottom;TXT6
124;;;6.18537;-92.8536;0;Bottom;Via91
125;;1206 [SMD];62.7005;-9.31346;-90;Top;LED9
126;220;1206 [SMD];60.1592;-14.4686;-90;Top;R4
127;;;72.2288;-7.05349;0;Bottom;Via31
128;100nF;100 mil [THT, multilayer];56.3505;-57.9237;-90;Bottom;C1
129;;;64.3617;-24.9771;0;Bottom;TXT3
130;220;1206 [SMD];90.3626;-87.7735;0;Top;R23
131;;;25.8709;-14.7486;0;Bottom;Via57
132;;;25.8709;-7.12856;0;Bottom;Via54
133;220;1206 [SMD];90.3626;-80.1535;0;Top;R26
134;;;41.7459;-19.8286;0;Bottom;Via10
135;;;34.1259;-12.2086;0;Bottom;Via7
136;;;24.6009;-64.2786;0;Bottom;Via15
137;;;51.9088;-5.78349;0;Bottom;Via42
138;;;53.1759;-84.5986;0;Bottom;Via83
139;;;86.8309;-77.6136;0;Bottom;Via74
140;;;25.8709;-17.2886;0;Bottom;Via58
141;;;12.5354;-42.6886;0;Bottom;Via12
142;;;62.2326;-18.8182;90;Bottom;TXT2
143;;1206 [SMD];41.747;-9.31349;-90;Top;LED11
144;;THT;96.3555;-83.9635;180;Bottom;bus
145;;;54.1632;-43.9302;0;Bottom;TXT1
146;;;25.8709;-38.2436;0;Bottom;Via53
147;;;25.8709;-12.2086;0;Bottom;Via56
148;;THT;96.3555;-61.7385;180;Bottom;pow1
149;;DIP (Dual Inline) [THT];8.72546;-63.0085;180;Bottom;7404
150;;;9.99546;-92.6347;0;Bottom;TXT7
151;;;32.2209;-9.66856;0;Bottom;Via6
152;;;25.8709;-33.1636;0;Bottom;Via51
153;;;96.2849;-63.714;0;Bottom;TXT4
154;;;90.6937;-72.3924;0;Bottom;TXT5
155;;DIP (Dual Inline) [THT];49.3429;-74.3679;-90;Bottom;74LS173
156;;;59.5288;-5.78349;0;Bottom;Via39
157;;;6.18537;-90.3136;0;Bottom;Via84
158;;;86.8309;-85.2336;0;Bottom;Via71
159;;;34.1259;-80.1536;0;Bottom;Via23
160;;DIP (Dual Inline) [THT];71.5905;-74.4385;90;Bottom;74163
161;;;46.8288;-5.78349;0;Bottom;Via44
162;220;1206 [SMD];44.287;-14.3935;-90;Top;R12
