*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=outregdisp_v2-groundfloor
*Date=20:17:08
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
106;;;15.5524;-3.99863;0;Bottom;TXT2
107;;TSSOP20;12.4889;-19.5915;0;Top;IC23
108;;;76.3397;-96.6488;0;Bottom;Copper Fill281
109;;;33.1978;-56.9994;0;Bottom;Copper Fill122
110;;;76.9057;-48.9355;0;Bottom;Via367
111;;;91.0336;-15.4958;0;Bottom;Copper Fill213
112;220;1206 [SMD];72.4466;-35.2658;0;Top;R48
113;;;60.4008;-39.9095;0;Bottom;Via484
114;;;11.1125;-16.207;0;Bottom;Copper Fill251
115;;;79.883;-38.2034;0;Bottom;Copper Fill161
116;220;1206 [SMD];22.2395;-13.3216;0;Top;R68
117;;;87.6808;-25.8082;0;Bottom;Copper Fill192
118;;;65.7227;-85.9066;0;Bottom;Via458
119;;;5.7912;-37.9748;0;Bottom;Copper Fill160
120;;;62.7253;-48.3126;0;Bottom;Copper Fill272
121;;;38.8411;-5.8247;0;Bottom;TXT1
122;;;75.7682;-74.8556;0;Bottom;Copper Fill86
123;;TSSOP20;12.4889;-80.5514;0;Top;IC16
124;;;59.4506;-23.9013;0;Bottom;Via391
125;;;19.1008;-23.9032;0;Bottom;Copper Fill195
126;;;52.1208;-89.3844;0;Bottom;Copper Fill6
127;;;69.2658;-49.6334;0;Bottom;Copper Fill137
128;;;62.7253;-28.9832;0;Bottom;Copper Fill267
129;;;57.3655;-72.6542;0;Bottom;Via329
130;;;6.2484;-12.8542;0;Bottom;Copper Fill216
131;;;9.3853;-1.5766;0;Bottom;Copper Fill31
132;;DIP (Dual Inline) [THT];82.7337;-91.925;-90;Bottom;74LS139
133;;;57.277;-24.6906;0;Bottom;Copper Fill193
134;;;82.804;-7.7234;0;Bottom;Copper Fill220
135;;;28.668;-61.5864;0;Bottom;Via420
136;;;51.8414;-46.2679;0;Bottom;Copper Fill34
137;;;85.9536;-59.006;0;Bottom;Copper Fill113
138;;;49.0474;-58.5488;0;Bottom;Copper Fill115
139;;;76.9057;-8.29556;0;Bottom;Via396
140;;;58.4027;-23.2886;0;Bottom;Via389
141;220;1206 [SMD];22.2395;-56.5016;0;Top;R60
142;;;17.0394;-30.3442;0;Bottom;Via477
143;;;56.5172;-53.4594;0;Bottom;Via357
144;;;96.9789;-3.03908;0;Bottom;Hole34
145;;;11.5824;-77.6623;0;Bottom;Copper Fill24
146;;;31.5484;-53.9066;0;Bottom;Via424
147;220;1206 [SMD];22.2395;-61.5816;0;Top;R63
148;;;11.1125;-77.167;0;Bottom;Copper Fill239
149;;;59.3975;-5.87438;0;Bottom;Via411
150;;;19.177;-93.3722;0;Bottom;Copper Fill58
151;;;60.6806;-83.517;0;Bottom;Copper Fill8
152;220;1206 [SMD];33.785;-93.3011;180;Top;R2
153;;;49.8348;-65.2798;0;Bottom;Copper Fill105
154;;;13.1754;-82.8329;0;Bottom;Via305
155;;;59.7281;-28.1958;0;Bottom;Copper Fill270
156;220;1206 [SMD];72.4466;-37.8058;0;Top;R49
157;;;9.0805;-88.9272;0;Bottom;Copper Fill237
158;;;28.668;-81.8005;0;Bottom;Via310
159;;;86.9442;-6.6058;0;Bottom;Copper Fill230
160;;THT;35.7719;-50.0291;0;Bottom;J48
161;;;45.8216;-94.4644;0;Bottom;Copper Fill3
162;;;57.4773;-52.1793;0;Bottom;Via359
163;;;19.1008;-64.5432;0;Bottom;Copper Fill107
164;;;76.3397;-96.6488;0;Bottom;Copper Fill50
165;;;11.1125;-17.1976;0;Bottom;Copper Fill250
166;;;93.7626;-31.1341;0;Bottom;Via377
167;;;51.308;-93.1563;0;Bottom;Copper Fill44
168;;;25.9334;-55.2214;0;Bottom;Copper Fill130
169;;;62.7735;-48.7493;0;Bottom;Via356
170;220;1206 [SMD];72.3348;-70.9807;0;Top;R30
171;;;82.804;-48.3634;0;Bottom;Copper Fill141
172;;;75.7428;-69.7502;0;Bottom;Copper Fill93
173;;;25.4254;-57.7614;0;Bottom;Copper Fill121
174;220;1206 [SMD];72.4466;-58.1258;0;Top;R41
175;;;9.5377;-77.3702;0;Bottom;Copper Fill241
176;;;76.6826;-26.8242;0;Bottom;Copper Fill183
177;220;1206 [SMD];72.4466;-55.5858;0;Top;R40
178;;;56.5505;-18.9424;0;Bottom;Via481
179;;;16.1798;-23.7508;0;Bottom;Copper Fill196
180;;;61.0108;-93.1944;0;Bottom;Copper Fill2
181;;;9.0805;-90.6036;0;Bottom;Copper Fill236
182;;;75.0316;-94.1596;0;Bottom;Copper Fill53
183;;;5.6388;-64.6702;0;Bottom;Copper Fill106
184;;;6.2484;-33.1742;0;Bottom;Copper Fill175
185;;;11.1125;-36.527;0;Bottom;Copper Fill247
186;;;59.2858;-65.0138;0;Bottom;Via335
187;;;69.3166;-56.0342;0;Bottom;Copper Fill127
188;;;77.8256;-9.6284;0;Bottom;Copper Fill217
189;;;5.95681;-97.132;0;Bottom;TXT2
190;;;84.0319;-43.9261;0;Bottom;Via372
191;;;64.0294;-33.8367;0;Bottom;Via383
192;;;2.75194;-3.03908;0;Bottom;Hole33
193;;;88.5444;-93.296;0;Bottom;Copper Fill56
194;;;29.6282;-38.6359;0;Bottom;Via440
195;;;48.0949;-88.3176;0;Bottom;Copper Fill274
196;;;57.6834;-6.2502;0;Bottom;Copper Fill225
197;;;82.677;-46.1282;0;Bottom;Copper Fill150
198;220;1206 [SMD];72.4466;-45.4258;0;Top;R35
199;;;57.4773;-11.5394;0;Bottom;Via408
200;;;92.4052;-88.1779;0;Bottom;Copper Fill49
201;;;27.7079;-26.6386;0;Bottom;Via435
202;;;27.432;-17.858;0;Bottom;Copper Fill201
203;;;77.3644;-60.5066;0;Bottom;Via366
204;;;32.5085;-30.9487;0;Bottom;Via436
205;;;82.677;-25.8082;0;Bottom;Copper Fill190
206;;TSSOP20;62.8229;-11.1799;0;Top;IC20
207;220;1206 [SMD];72.4466;-7.3258;0;Top;R52
208;220;1206 [SMD];72.3348;-73.5207;0;Top;R31
209;;;14.351;-44.7566;0;Bottom;Copper Fill153
210;;;28.668;-41.1606;0;Bottom;Via438
211;;;87.2744;-67.0832;0;Bottom;Copper Fill11
212;220;1206 [SMD];72.4466;-27.6458;0;Top;R44
213;;;45.5676;-54.7642;0;Bottom;Copper Fill114
214;;;17.907;-14.5052;0;Bottom;Copper Fill206
215;;;31.5385;-46.1133;0;Bottom;Via451
216;;;68.1228;-26.3416;0;Bottom;Copper Fill180
217;;;77.724;-70.7662;0;Bottom;Copper Fill91
218;;;12.319;-33.098;0;Bottom;Copper Fill169
219;;;58.4374;-4.89676;0;Bottom;Via409
220;;;33.6804;-54.6626;0;Bottom;Copper Fill131
221;;;5.7912;-58.2948;0;Bottom;Copper Fill117
222;;;84.0319;-3.28612;0;Bottom;Via400
223;;;34.8234;-74.8175;0;Bottom;Copper Fill37
224;;;61.449;-41.9252;0;Bottom;Via485
225;;;25.9588;-25.3002;0;Bottom;Copper Fill187
226;;;8.1788;-97.6775;0;Bottom;Copper Fill235
227;;;30.586;-47.8067;0;Bottom;Via452
228;;;87.5792;-66.5752;0;Bottom;Copper Fill104
229;;;19.05;-78.4624;0;Bottom;Copper Fill77
230;;;69.2658;-29.3134;0;Bottom;Copper Fill177
231;;;76.6826;-47.1442;0;Bottom;Copper Fill143
232;220;1206 [SMD];72.4466;-2.2458;0;Top;R53
233;;;9.3853;-3.3546;0;Bottom;Copper Fill257
234;220;1206 [SMD];72.4466;-12.4058;0;Top;R55
235;;;93.7626;-11.7666;0;Bottom;Via397
236;;;69.1896;-76.4812;0;Bottom;Copper Fill81
237;;;32.5085;-71.5888;0;Bottom;Via309
238;100nF;100 mil [THT, multilayer];48.3308;-94.5355;-90;Bottom;C1
239;;;18.9992;-35.6634;0;Bottom;Copper Fill172
240;;;62.7253;-49.3032;0;Bottom;Copper Fill271
241;;;60.7568;-44.8836;0;Bottom;Copper Fill165
242;;;54.589;-14.803;0;Bottom;Via410
243;;;68.0457;-72.4375;0;Bottom;TXT2
244;;;69.1388;-47.5506;0;Bottom;Copper Fill144
245;;;5.7912;-17.6548;0;Bottom;Copper Fill203
246;;;25.4254;-27.891;0;Bottom;Copper Fill179
247;;;13.2294;-42.4092;0;Bottom;Via428
248;;;54.5952;-22.3578;0;Bottom;Via479
249;;;49.8348;-60.4792;0;Bottom;Copper Fill111
250;;;51.8414;-51.3479;0;Bottom;Copper Fill42
251;;;59.393;-38.5789;0;Bottom;Via483
252;;;17.907;-75.516;0;Bottom;Copper Fill78
253;;;47.0154;-92.026;0;Bottom;Copper Fill4
254;;;57.4948;-31.8766;0;Bottom;Via388
255;;;58.5216;-25.478;0;Bottom;Copper Fill188
256;220;1206 [SMD];22.2395;-74.2816;0;Top;R19
257;;;69.4319;-83.0491;0;Bottom;Via465
258;;;19.05;-37.8224;0;Bottom;Copper Fill162
259;;;15.4519;-24.9467;0;Bottom;Via431
260;;;14.9879;-96.8497;0;Bottom;TXT2
261;;;31.5484;-33.5866;0;Bottom;Via446
262;;;62.7735;-28.4293;0;Bottom;Via385
263;;THT;85.2359;-6.58012;-90;Bottom;display-9
264;;;26.9494;-20.4996;0;Bottom;Copper Fill199
265;;;79.883;-17.8834;0;Bottom;Copper Fill204
266;;;79.0956;-64.5178;0;Bottom;Copper Fill108
267;;;82.4992;-83.0344;0;Bottom;Copper Fill9
268;;THT;4.32054;-19.601;0;Bottom;J58
269;;;62.1284;-69.2803;0;Bottom;Copper Fill40
270;;;79.1972;-3.4054;0;Bottom;Copper Fill231
271;;;55.603;-20.7989;0;Bottom;Via480
272;;;35.6997;-73.9412;0;Bottom;Copper Fill266
273;;;82.677;-5.4882;0;Bottom;Copper Fill227
274;;THT;43.3919;-77.3341;0;Bottom;J61
275;;;67.5894;-29.9484;0;Bottom;Copper Fill16
276;;;79.1972;-44.0454;0;Bottom;Copper Fill156
277;;;64.0294;-54.1566;0;Bottom;Via354
278;;;29.6282;-21.9848;0;Bottom;Via441
279;;;10.6172;-57.3423;0;Bottom;Copper Fill25
280;;;33.9852;-52.275;0;Bottom;Copper Fill135
281;;;65.6169;-56.0616;0;Bottom;Via355
282;;;87.6808;-46.1282;0;Bottom;Copper Fill152
283;220;1206 [SMD];22.2395;-36.1816;0;Top;R69
284;220;1206 [SMD];22.2395;-69.2016;0;Top;R66
285;;;72.39;-41.8102;0;Bottom;Copper Fill71
