*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PC_v2-groundfill
*Date=14:13:06
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;3.6068;-77.1924;0;Bottom;Copper Fill144
102;;;93.091;-46.2552;0;Bottom;Copper Fill158
103;;;79.6925;-2.8466;0;Bottom;Copper Fill108
104;;;37.3126;-26.9004;0;Bottom;Copper Fill57
105;;;5.588;-71.0583;0;Bottom;Copper Fill242
106;;;78.0542;-45.8996;0;Bottom;Copper Fill64
107;;;44.196;-60.5046;0;Bottom;Copper Fill27
108;;;83.5859;-79.8741;0;Bottom;Via287
109;;;64.516;-57.9392;0;Bottom;Copper Fill50
110;;;76.2762;-3.7483;0;Bottom;Copper Fill214
111;;;23.8959;-84.9541;0;Bottom;Via298
112;;;30.2514;-4.9548;0;Bottom;Copper Fill180
113;;DIP (Dual Inline) [THT];84.856;-51.2991;90;Bottom;74LS161-4
114;;;89.916;-60.5046;0;Bottom;Copper Fill37
115;;;82.296;-57.9392;0;Bottom;Copper Fill51
116;;;36.576;-57.9392;0;Bottom;Copper Fill45
117;;;87.376;-76.0748;0;Bottom;Copper Fill12
118;;;94.4118;-30.8882;0;Bottom;Copper Fill168
119;;;69.6159;-45.5842;0;Bottom;Via306
120;;;42.3926;-26.9004;0;Bottom;Copper Fill59
121;;;84.836;-76.7098;0;Bottom;Copper Fill10
122;;;39.4462;-33.0726;0;Bottom;Copper Fill163
123;;;42.9514;-4.9548;0;Bottom;Copper Fill185
124;;THT;17.546;-6.21408;-90;Bottom;GND4
125;;;12.8016;-69.7248;0;Bottom;Copper Fill145
126;;;30.2514;-4.9548;0;Bottom;Copper Fill83
127;;;84.7725;-7.1646;0;Bottom;Copper Fill207
128;;;20.0914;-4.9548;0;Bottom;Copper Fill81
129;;;81.0514;-4.9548;0;Bottom;Copper Fill194
130;;;47.9933;-46.7124;0;Bottom;Copper Fill121
131;;;60.7259;-84.9541;0;Bottom;Via291
132;;;88.3412;-29.7579;0;Bottom;Copper Fill201
133;;;77.1525;-7.1646;0;Bottom;Copper Fill211
