*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=io-decoder_10x10cm
*Date=17:37:17
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
105;;;97.7775;-17.4794;-90;Bottom;TXT6
106;220;1206 [SMD];29.7621;-17.9731;-90;Top;R24
107;220;1206 [SMD];42.4621;-17.9731;-90;Top;R20
108;;;72.3072;-8.80292;0;Bottom;Via52
109;;THT;65.957;-3.08811;-90;Bottom;J7
110;;;29.7622;-8.72785;0;Bottom;Via69
111;;;67.2269;-71.0331;0;Bottom;Via1
112;;;32.9369;-44.3632;0;Bottom;Via83
113;;1206 [SMD];9.44215;-12.2581;-90;Top;LED32
114;;;95.802;-92.6231;0;Bottom;Hole5
115;;;70.9664;-6.5598;0;Bottom;TXT4
116;220;1206 [SMD];17.0621;-17.8981;-90;Top;R29
117;220;1206 [SMD];59.6071;-17.9731;-90;Top;R13
118;;;10.0769;-73.5731;0;Bottom;Via8
119;220;1206 [SMD];19.6021;-17.9731;-90;Top;R27
120;;;28.304;-21.9434;0;Bottom;TXT2
121;220;1206 [SMD];51.9871;-18.0482;-90;Top;R16
122;;;95.802;-3.72311;0;Bottom;Hole4
123;;1206 [SMD];29.7621;-12.2581;-90;Top;LED24
124;;;48.906;-92.1057;0;Bottom;TXT3
125;;1206 [SMD];34.8421;-12.1831;-90;Top;LED22
126;;;53.2569;-42.4582;0;Bottom;Via85
127;;;37.3822;-8.72785;0;Bottom;Via72
128;;;89.4519;-31.6632;0;Bottom;Via97
129;;DIP (Dual Inline) [THT];58.972;-41.1881;0;Bottom;74LS139
130;;;39.9222;-8.72785;0;Bottom;Via73
131;;THT;77.387;-64.6831;0;Bottom;AT28C16
132;;;64.6869;-73.5731;0;Bottom;Via25
133;;;24.6822;-8.72785;0;Bottom;Via67
134;;;84.3719;-47.5382;0;Bottom;Via91
135;;THT;96.437;-25.3131;0;Bottom;J16
136;;;10.0769;-23.4082;0;Bottom;Via80
137;;1206 [SMD];42.4621;-12.2581;-90;Top;LED20
138;;;85.0072;-8.80292;0;Bottom;Via57
139;;;43.0969;-56.4281;0;Bottom;Via23
140;;;10.0769;-37.3782;0;Bottom;Via79
141;;;89.4519;-35.4732;0;Bottom;Via29
142;;;3.72702;-3.72311;0;Bottom;Hole7
143;;;83.1019;-55.7932;0;Bottom;Via90
144;;;79.9272;-8.80292;0;Bottom;Via55
145;;;54.5269;-55.7931;0;Bottom;Via5
146;;;64.6872;-8.80292;0;Bottom;Via49
147;220;1206 [SMD];72.3071;-18.0482;-90;Top;R8
148;;THT;92.627;-64.6831;0;Bottom;J15
149;;;83.867;-80.9926;0;Bottom;Via96
150;;1206 [SMD];17.0621;-12.1831;-90;Top;LED30
151;;1206 [SMD];14.5221;-12.1831;-90;Top;LED29
152;220;1206 [SMD];67.2271;-17.9731;-90;Top;R10
153;;;69.7672;-8.80292;0;Bottom;Via51
154;;;14.5222;-8.72785;0;Bottom;Via63
155;220;1206 [SMD];54.5271;-18.0482;-90;Top;R15
156;;;53.8919;-24.0432;0;Bottom;Via84
157;;;40.5569;-67.2231;0;Bottom;Via38
158;;;93.0738;-23.808;0;Bottom;TXT1
159;;1206 [SMD];47.5421;-12.1831;-90;Top;LED17
